rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
128,The Azuki PBT Official Pass,1K,2,https://rarible.com/collection/polygon/0xcf4830c57cd13d9b7dc37de7db7d3631bd699306,,Polygon,0xcf4830c57cd13d9b7dc37de7db7d3631bd699306,2023/1/13 8:21,1,,,,,,
129,Azuki Originals Lei Jacket Pass,1K,395,https://rarible.com/collection/polygon/0xd52fcfec831255748dd3a0d5eb007ccf0ff36d0d,,Polygon,0xd52fcfec831255748dd3a0d5eb007ccf0ff36d0d,2023/2/9 11:43,1,,,,,,
130,Azuki X PBT Origins Pass,1K,2,https://rarible.com/collection/polygon/0xd57a25bf46976836c80902795d674c20ee997507,,Polygon,0xd57a25bf46976836c80902795d674c20ee997507,2023/1/13 8:20,1,,,,,,
131,The Azuki Lei Jacket Pass Special,1K,394,https://rarible.com/collection/polygon/0xd5849dfb908c02a82c2384b3f0265ec54f9a5333,,Polygon,0xd5849dfb908c02a82c2384b3f0265ec54f9a5333,2023/2/9 11:44,1,,,,,,
132,Azuki Genesis Lei Jacket Pass,1K,395,https://rarible.com/collection/polygon/0xd91e39324d514ea5f612a04da31859728abc562c,,Polygon,0xd91e39324d514ea5f612a04da31859728abc562c,2023/2/9 10:21,1,,,,,,
133,Azuki X PBT Limited Pass,1K,2,https://rarible.com/collection/polygon/0xdd38ab9bde481364036447e5584ef02ca5a85b60,,Polygon,0xdd38ab9bde481364036447e5584ef02ca5a85b60,2023/1/13 8:21,1,,,,,,
134,Azuki PBT Official Pass,1K,2,https://rarible.com/collection/polygon/0xdeafc949ff7387f812ca0098fb1d5c98ad8ecce5,,Polygon,0xdeafc949ff7387f812ca0098fb1d5c98ad8ecce5,2023/1/13 8:20,1,,,,,,
135,The Azuki PBT Originals Pass,1K,502,https://rarible.com/collection/polygon/0xdebb0f57f22ba16b5237e0872d295a24712674fd,,Polygon,0xdebb0f57f22ba16b5237e0872d295a24712674fd,2023/5/3 18:19,1,,,,,,
136,The Azuki Lei Jacket Pass Genesis,1K,396,https://rarible.com/collection/polygon/0xe0c2a6956009865ce62e29ca4e3e461829457ddd,,Polygon,0xe0c2a6956009865ce62e29ca4e3e461829457ddd,2023/2/9 11:44,1,,,,,,
137,The Azuki Dragon Skateboard Origin Pass,1K,128,https://rarible.com/collection/polygon/0xe3fa999490ce88a5e5df91901dc00efbe3212d90,,Polygon,0xe3fa999490ce88a5e5df91901dc00efbe3212d90,2023/1/16 21:02,1,,,,,,
138,The Azuki Special Lei Jacket Pass,1K,394,https://rarible.com/collection/polygon/0xe4c5edcee86c74d96cf3364d6a1800296a24fbdd,,Polygon,0xe4c5edcee86c74d96cf3364d6a1800296a24fbdd,2023/2/9 11:45,1,,,,,,
139,The Azuki Dragon Skateboard NFT Pass,1K,121,https://rarible.com/collection/polygon/0xe522dece57b29f244e5cfa26d250f5cf9936ef1b,,Polygon,0xe522dece57b29f244e5cfa26d250f5cf9936ef1b,2023/1/16 20:42,1,,,,,,
14,Azuki Official,10K,9,https://rarible.com/collection/polygon/0x377a67315faf867e16ac073c5605adf114c353a3,,Polygon,0x377a67315faf867e16ac073c5605adf114c353a3,2022/3/17 4:34,1,1,,,,,
140,Top Azuki PBT Genesis Pass,1K,160,https://rarible.com/collection/polygon/0xe686cfd59fc603a9c5dbfd3175c9a1b48e597950,,Polygon,0xe686cfd59fc603a9c5dbfd3175c9a1b48e597950,2023/1/13 9:03,1,,,,,,
141,Azuki X PBT Original Pass,1K,2,https://rarible.com/collection/polygon/0xe7df0779e1c51c8ed23f9311eac6bc2faa37c8f3,,Polygon,0xe7df0779e1c51c8ed23f9311eac6bc2faa37c8f3,2023/1/13 8:19,1,,,,,,
142,The Great Azuki,1K,10K,https://rarible.com/collection/polygon/0xe82364856c0e44a4ef0da65213571a04cedbdf51,,Polygon,0xe82364856c0e44a4ef0da65213571a04cedbdf51,2022/6/20 20:21,1,,,,,,
143,The Azuki PBT Collection Pass,1K,502,https://rarible.com/collection/polygon/0xe9e4a87027a7614fe203e08b5894efee2c99bc7d,,Polygon,0xe9e4a87027a7614fe203e08b5894efee2c99bc7d,2023/5/3 18:05,1,,,,,,
144,The Azuki PBT Official Pass,1K,502,https://rarible.com/collection/polygon/0xebf8e71a0366f8ceb16b682a7143099eb3480468,,Polygon,0xebf8e71a0366f8ceb16b682a7143099eb3480468,2023/5/3 18:19,1,,,,,,
145,Azuki PBT Origin Pass,1K,2,https://rarible.com/collection/polygon/0xef26dfc63b379f422c380ff2821909765f58a373,,Polygon,0xef26dfc63b379f422c380ff2821909765f58a373,2023/1/13 8:19,1,,,,,,
146,Tokyo Azuki PBT Originals Pass,1K,160,https://rarible.com/collection/polygon/0xf00546ab037a6ceea50db2ab26c6499bfa982b71,,Polygon,0xf00546ab037a6ceea50db2ab26c6499bfa982b71,2023/1/13 9:03,1,,,,,,
147,Azuki Special Lei Jacket Pass,1K,395,https://rarible.com/collection/polygon/0xba1395fd928479b8010d0a2141dd427759a06450,,Polygon,0xba1395fd928479b8010d0a2141dd427759a06450,2023/2/9 11:44,1,,,,,,
148,The Azuki PBT Limited Pass,1K,2,https://rarible.com/collection/polygon/0xbb37e9a2d241d982ab024f5811cceb11d604d145,,Polygon,0xbb37e9a2d241d982ab024f5811cceb11d604d145,2023/1/13 8:20,1,,,,,,
149,Azuki Dragon Skateboard Limited Pass,1K,128,https://rarible.com/collection/polygon/0xbb97b0093110e825baa2f4e44aaf02a359538cca,,Polygon,0xbb97b0093110e825baa2f4e44aaf02a359538cca,2023/1/16 20:42,1,,,,,,
15,Azuki,10K,1,https://rarible.com/collection/polygon/0x3d3b9b58d060f85aaaedd1fc2051d6951d32be45,,Polygon,0x3d3b9b58d060f85aaaedd1fc2051d6951d32be45,2022/11/14 23:12,1,,,,,,
150,Azuki PBT Limited Pass,1K,2,https://rarible.com/collection/polygon/0xbc30ece298ff41173d544c74d60a278d81727283,,Polygon,0xbc30ece298ff41173d544c74d60a278d81727283,2023/1/13 8:21,1,,,,,,
