rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification
190,PudgyPenguins,1,1,https://rarible.com/collection/polygon/0x076d3a258aa52d3f2e2f95157992e6f3d8f56520,,Polygon,0x076d3a258aa52d3f2e2f95157992e6f3d8f56520,2023-09-07 14:37:04,1.0,1.0,,,,
191,PudgyPenguins,1,1,https://rarible.com/collection/polygon/0x190d44083cb4dcdae1e120a874083aae3c902964,,Polygon,0x190d44083cb4dcdae1e120a874083aae3c902964,2021-08-11 14:14:55,1.0,,,,,
192,Pudgy Penguins,1,1,https://rarible.com/collection/polygon/0x263b0ee602f59e428bbd312e58074839a8ef9ff0,,Polygon,0x263b0ee602f59e428bbd312e58074839a8ef9ff0,2023-08-18 17:11:32,1.0,,,,,
193,Pudgy Penguins,1,1,https://rarible.com/collection/polygon/0x4ead44d63bc5ddf5ce7ca63f6023c7abbb9951a7,,Polygon,0x4ead44d63bc5ddf5ce7ca63f6023c7abbb9951a7,2023-01-17 01:20:06,1.0,1.0,,,,
194,Test - Pudgy Penguin,1,1,https://rarible.com/collection/polygon/0x5bb2bd89f3e338928ad5314be2ab28d70864c536,,Polygon,0x5bb2bd89f3e338928ad5314be2ab28d70864c536,2023-09-25 14:27:37,1.0,1.0,,,,
195,PudgyPenguins,1,1,https://rarible.com/collection/polygon/0x63e92885c5dcd6993021e69e44a574eb4310b5c4,,Polygon,0x63e92885c5dcd6993021e69e44a574eb4310b5c4,2021-10-21 13:52:14,1.0,,,,,
196,Pudgy Penguins,1,1,https://rarible.com/collection/polygon/0x852b664cc5386ebfc00c03e0eb726d93fa3fe2a9,,Polygon,0x852b664cc5386ebfc00c03e0eb726d93fa3fe2a9,2024-04-20 23:14:35,1.0,1.0,,,,
197,Pudgy Penguin 2857,1,2,https://rarible.com/collection/polygon/0x9ad7f0ae144eafbaed12dbeb4474d6fa01453fee,,Polygon,0x9ad7f0ae144eafbaed12dbeb4474d6fa01453fee,2024-02-07 12:38:22,1.0,1.0,,,,
198,PudgyPenguins,1,1,https://rarible.com/collection/polygon/0xc9efbcfa45df2e7d6171323d0884444d4d1268d1,,Polygon,0xc9efbcfa45df2e7d6171323d0884444d4d1268d1,2021-08-11 19:32:57,1.0,,,,,
199,Pudgy Penguin 2857,1,2K,https://rarible.com/collection/polygon/0xce577a8d8efe100cb54c72dc01570ffec9adf008,,Polygon,0xce577a8d8efe100cb54c72dc01570ffec9adf008,2024-02-07 10:40:50,1.0,1.0,,,,
2,Based Pudgy Penguins,500,20,https://rarible.com/collection/base/0x56b076124441bcc07eb49f612d00109a44db32d7,,Base,0x56b076124441bcc07eb49f612d00109a44db32d7,2024-06-12 18:10:53,1.0,,,,,
